ArtistId,Name,Album,Artist,ReleasedDate,AddedAt,DurationMS,Popularity,Acousticness,Danceability,Energy,Instrumentalness,Liveness,Loudness,Speechiness,Tempo
4frXpPxQQZwbCu3eTGnZEw,Walkin',The Golden Age of Apocalypse,Thundercat,2011-08-29,2023-01-05T14:51:49Z,126902,56,0.279,0.908,0.435,0.5,0.0889,-8.583,0.0676,124.98
4UAW69682T7N0wrABUhqx0,B4,B4,Ginger Root,2019-11-20,2023-01-05T15:05:16Z,172329,49,0.476,0.797,0.726,0.472,0.0769,-5.267,0.0804,104.432
1JJFKIcDjsMUEJAini15V8,Paradis bleu,Paradis bleu,Revers Gagnant,2019-05-03,2023-01-08T02:31:53Z,237913,49,0.647,0.763,0.582,0.298,0.104,-9.838,0.0435,114.929
3koiLjNrgRTNbOwViDipeA,Ain't No Mountain High Enough,United,Marvin Gaye,1967-08-29,2023-01-11T22:45:02Z,151666,83,0.43,0.663,0.6,0.0,0.184,-10.87,0.032,129.991
4q3ewBCX7sLwd24euuV69X,Un Coco,Un Verano Sin Ti,Bad Bunny,2022-05-06,2023-01-15T10:49:06Z,196412,86,0.207,0.839,0.69,8.33e-06,0.176,-4.464,0.0615,151.991
2RpHsROrX075xfIwHn6B2U,The Lady In Red,Into The Light,Chris de Burgh,1986-01-01,2023-01-16T02:18:31Z,256173,76,0.332,0.548,0.294,3.34e-06,0.0392,-17.112,0.0333,76.698
0gdMNxIIIINRt8nxy8AQGg,Runaway,Runaway,Mylko,2018-09-07,2023-01-19T21:02:05Z,239165,31,0.0699,0.919,0.634,0.00216,0.285,-9.341,0.0882,102.006
7iMfIbYzWN2r9FJSzSiVHE,As Expected,Twin Seas,Twin Seas,2017-09-29,2023-01-19T21:08:41Z,257422,33,0.359,0.661,0.546,0.0565,0.567,-6.638,0.0458,103.99
1MSxOmIt7uYgvPydd1tU8F,Pressure,Waking Hours,Photay,2020-06-12,2023-01-19T21:41:09Z,318034,41,0.102,0.675,0.708,0.463,0.266,-7.745,0.0372,104.977
34zbMuAgXxsgqnGXSxWvCR,Move Like This,They Call Me Disco,Ric Wilson,2020-05-08,2023-01-19T21:51:02Z,244861,47,0.0365,0.759,0.642,0.00695,0.128,-8.16,0.0396,123.0
074x63xwuKj1TU680DYY21,Via A71,Random Cuties,Robert Kino,2017-11-24,2023-01-19T23:43:13Z,174315,41,0.766,0.356,0.685,0.566,0.173,-9.649,0.164,94.836
